ID_exhibition;ID_exhibit;name;year_of_creating;type_of_exhibit;genre_technic;materials;ID_master
1;1;БАБУШКА И ВНУЧКА;1893;картина;живопись;17,30;26
1;2;ДЕВОЧКА С КОШКОЙ;XIX в.;картина;портрет;17,30;42
1;3;ДЕВОЧКА У ФОРТЕПИАНО;XX в.;картина;портрет;17,30;null
1;4;НЕНАГЛЯДНЫЙ;1890;картина;живопись;17,30;37
1;5;ПОРТРЕТ МАЛЬЧИКА;1913;картина;портрет;17,30;38
1;6;ПОРТРЕТ МАРИИ ЛЬВОВНЫ И СОФЬИ ЛЬВОВНЫ ПЕРОВСКИХ;1859;картина;портрет;17,30;31
1;7;У ПОРОГА ШКОЛЫ;1897;картина;живопись;17,30;5
1;8;УДОБНЫЙ СЛУЧАЙ;ХХ в.;картина;живопись;17,30;33
2;9;РАСПЯТИЕ ХVIII ВЕКА;XVIII в.;скульптура;резьба;12,26;null
2;10;ДАРОХРАНИТЕЛЬНИЦА;XVIII в.;священный сосуд;гравировка;18;null
2;11;АНГЕЛ С ТРУБОЙ;XVIII в.;скульптура;резьба;12,23,24,26;null
2;12;СВЯТОЙ ГРИГОРИЙ БОГОСЛОВ. ИЗ ДЕИСУСНОГО ЧИНА 2 ПОЛОВИНА XVI В.;XVI в.;икона;живопись;12,16,20,26;null
2;13;"СВЯТОЙ АРХАНГЕЛ ГАВРИИЛ. ИЗ ЧИНА ""ДЕИСУС"" XVIII В.";XVIII в.;икона;живопись;12,23,26;null
2;14;ИОАНН ПРЕДТЕЧА;XVII в.;икона;живопись;12,16,20,26;null
2;15;ГОСПОДЬ ВСЕДЕРЖАТЕЛЬ;XIX в.;икона;живопись;12,17,25,26;null
2;16;АВРОРА (С ПЛАФОНА ГВИДО РЕНИ. ПЛАФОН, ФРЕСКА. 1613 Г. КАЗИНО РОСПИЛЬОЗИ, РИМ);1613;картина;гравюра;5;60
2;17;ПАСТУХ СО СТАДОМ;XVIII - XIX в.;картина;живопись;12,17;56
2;18;ОТДЫХ НА ПУТИ В ЕГИПЕТ;XVII в.;картина;пейзаж;17,30;null
2;19;КРЕЩЕНИЕ РИМЛЯН АПОСТОЛОМ ПЕТРОМ;XVIII в.;картина;каприччио;17,30;36
2;20;ГРЕХОПАДЕНИЕ;XVI в.;картина;живопись;12,17;null
2;21;СЦЕНЫ ИЗ ЖИЗНИ ИОСИФА ПРЕКРАСНОГО;XV - XVI в.;картина;масляная живопись;12,17,26;null
